Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
360	-54.92852	-100.0881	45.15961	0.00581706	0.0353951	0.0274575	0.00535515	0.0256001	0.00113349	0.00246296	0.00441608	0.00542408	0.0195891	0.00133479	0.00193845	0.00666685	0.0530156	0.00284677	0.00560412	0.0169561	0.0163162	0.0364491	0.0153308	0.0747058	0.00968531	0.00497547	0.0328446	0.00663911	0.0530933	0.0236038	0.0153356	0.0098521	0.0663767	0.0196792	0.0178284	0.0361071	0.0136192	0.00672891	0.130584	0.45331	0.166977	0.249128	0.2939768	0.0149769	0.249605	0.750395	0.985023	0.824875	0.910379	0.971132	1.02973	1.09844	1.21231	0.1392078	0.00855218	0.0520375	0.0403678	0.0078731	0.037637	0.00166645	0.00362102	0.00649247	0.00797443	0.0287996	0.0019624	0.00284988	0.00980154	0.077943	0.0041853	0.00823912	0.0249287	0.023988	0.0535872	0.0225392	0.109832	0.0142393	0.00731489	0.0482878	0.00976076	0.0780573	0.0347021	0.0225463	0.0144845	0.0975863	0.0289322	0.0262111	0.0530843	0.0200228	0.00989277	0.6801841	0.9436773	0.117966	0.370795	0.629205	0.882034
396	-60.89289	-102.9969	42.10406	0.00363522	0.00863344	0.0113864	0.10999	0.00774951	7.40365e-05	0.000618316	0.0117776	0.00772791	0.0160459	0.00194348	0.000157904	0.0132878	0.0634902	0.011707	0.00752044	0.0136439	0.0215393	0.0150914	0.00403328	0.0567965	0.00235289	0.022252	0.0309145	0.00834607	0.0343093	0.0147758	0.0159194	0.0210641	0.0141589	0.00730591	0.0425162	0.0503804	0.00102275	0.00200348	0.171234	0.340918	0.329272	0.158576	1.913739	0.204757	0.412931	0.587069	0.795243	0.341591	0.59223	0.849222	1.17755	1.68853	2.92747	0.776677	0.00555699	0.0131975	0.0174058	0.168137	0.0118463	0.000113176	0.000945189	0.0180038	0.0118133	0.0245285	0.0029709	0.000241379	0.0203125	0.0970543	0.017896	0.0114961	0.0208567	0.032926	0.0230694	0.00616548	0.086822	0.00359674	0.0340156	0.0472575	0.0127582	0.052447	0.0225871	0.0243352	0.0321996	0.021644	0.0111682	0.0649924	0.0770141	0.00156342	0.00306262	0.6541717	2.032352	0.211905	0.415731	0.584269	0.788094
432	-56.19651	-97.6201	41.42359	0.00229999	0.0319481	0.000740573	0.00956317	0.0125727	0.00192661	0.00683874	0.00474017	0.00174943	0.00753831	0.0157998	0.0391929	0.0156627	0.05174	0.0168541	0.00566561	0.00748821	0.0107328	0.00483449	0.00342437	0.0328471	0.0160682	0.0988538	0.00140655	0.0104429	0.0146076	0.0035395	0.00617146	0.0127196	0.0308695	0.0155024	0.0101903	0.0640059	0.0139363	0.100695	0.196952	0.112636	0.622513	0.0678982	1.535878	0.178031	0.401762	0.598238	0.821969	0.383379	0.62652	0.864266	1.15705	1.59612	2.60838	0.6932281	0.00336664	0.0467645	0.00108403	0.0139982	0.0184035	0.00282011	0.0100103	0.0069385	0.00256075	0.0110343	0.0231272	0.0573693	0.0229265	0.0757352	0.0246705	0.00829313	0.010961	0.0157103	0.00707656	0.00501247	0.0480804	0.0235201	0.144699	0.00205887	0.015286	0.0213821	0.00518101	0.00903357	0.0186186	0.0451857	0.0226919	0.0149162	0.0936897	0.0203995	0.147395	0.6831691	3.734514	0.278564	0.439068	0.560932	0.721436
468	-65.47571	-110.8092	45.33349	0.0144217	0.050504	0.0191137	0.0669049	0.0127448	0.00141841	0.032255	0.0322078	0.00615371	0.0133953	0.0044421	0.000623464	0.0220703	0.00736778	0.0103845	0.00260557	0.016646	0.0331284	0.0176907	0.0515486	0.00557717	0.039379	0.0479095	0.0395063	0.0527941	0.0769918	0.0199144	0.0269999	0.0156289	0.0248405	0.0280646	0.0176757	0.029168	0.0160886	0.0752877	0.035452	0.261096	0.265352	0.4381	0.3228404	0.0193524	0.261731	0.738269	0.980648	0.584178	0.769385	0.921465	1.08523	1.29974	1.71181	0.3886854	0.015483	0.0542207	0.0205204	0.0718286	0.0136827	0.00152279	0.0346287	0.034578	0.00660657	0.014381	0.004769	0.000669345	0.0236945	0.00790998	0.0111487	0.00279731	0.0178709	0.0355663	0.0189926	0.0553422	0.0059876	0.0422769	0.0514352	0.0424137	0.0566793	0.0826578	0.0213799	0.0289868	0.016779	0.0266686	0.0301299	0.0189764	0.0313146	0.0172726	0.0808282	0.9314532	0.2166878	0.0054769	0.209031	0.790969	0.994523
504	-50.6363	-96.31478	45.67848	0.00781607	0.0213595	0.0258142	0.00150863	0.000546939	0.00808004	0.0135193	0.00199956	0.0217487	0.031276	0.0109496	0.0122017	0.014613	0.00895615	0.00329307	0.00974687	0.0131414	0.0140643	0.0192046	0.0336631	0.0143985	0.0281455	0.0315318	0.0134479	0.0272697	0.0433753	0.00570176	0.0237962	0.0303177	0.00606793	0.0217578	0.0262977	0.0153387	0.0532276	0.0574279	0.13814	0.375604	0.0904537	0.395803	0.322587	0.0193126	0.26163	0.73837	0.980688	0.765775	0.877962	0.960208	1.04144	1.139	1.30587	0.1929633	0.0116379	0.0318037	0.0384366	0.0022463	0.000814376	0.0120309	0.0201298	0.00297729	0.0323832	0.0465691	0.0163036	0.0181679	0.0217584	0.0133355	0.00490329	0.0145128	0.0195671	0.0209413	0.0285951	0.0501235	0.0214389	0.0419078	0.04695	0.0200235	0.0406038	0.0645846	0.00848976	0.0354319	0.0451421	0.00903497	0.0323968	0.0391565	0.0228389	0.0792544	0.0855085	0.6716046	0.1724875	0.00209562	0.179091	0.820909	0.997904
540	-53.42048	-98.09644	44.67596	0.0032862	0.00433728	0.00147374	0.000429798	0.00074014	0.000731126	0.00917063	0.00349391	0.00650266	0.0109965	0.00153118	0.00161517	0.00720154	0.00317116	0.00171653	0.00242892	0.000702646	0.000401545	0.000688686	0.000374969	0.0128715	0.00529845	0.00437418	0.00191779	0.0180625	0.00622933	0.00124691	0.00628146	0.0121802	0.00204033	0.0132205	0.00351667	0.00125519	0.016015	0.00694049	0.203741	0.443282	0.309436	0.0435408	0.4388172	0.0390373	0.299063	0.700937	0.960963	0.419983	0.655012	0.876341	1.14111	1.52669	2.38105	0.6272921	0.0190565	0.0251517	0.00854616	0.00249238	0.00429204	0.00423977	0.0531801	0.020261	0.0377086	0.0637681	0.00887924	0.00936627	0.0417614	0.0183894	0.00995406	0.0140852	0.00407461	0.00232854	0.00399366	0.00217443	0.0746413	0.0307255	0.0253657	0.0111212	0.104744	0.0361236	0.0072308	0.0364259	0.0706326	0.0118318	0.0766651	0.020393	0.00727879	0.0928704	0.0402476	0.1724448	0.4976893	0.0494351	0.31304	0.68696	0.950565
576	-56.62398	-94.46451	37.84052	0.0251037	0.0603551	0.0141428	0.0102226	0.0182413	0.0036931	0.0178093	0.0156697	0.0144311	0.0141427	0.00332355	9.30514e-05	0.00976288	0.105461	0.0148687	0.000554626	0.000782813	0.00256163	3.9931e-06	0.0236552	0.0530609	0.0789185	0.007392	0.0233194	0.00813863	0.0132894	0.010341	0.0339194	0.00675144	0.0198639	0.0092439	0.00734299	0.00448455	0.0476193	0.00934174	0.215124	0.315458	0.0344695	0.434949	2.067896	0.213951	0.41652	0.583481	0.786049	0.364212	0.611043	0.857548	1.16612	1.63655	2.74565	0.7303125	0.0364929	0.0877375	0.0205592	0.0148604	0.0265171	0.00536861	0.0258891	0.0227789	0.0209783	0.020559	0.0048314	0.000135268	0.0141922	0.153307	0.0216144	0.000806254	0.00113796	0.00372381	5.80472e-06	0.0343873	0.0771339	0.114723	0.0107457	0.0338992	0.011831	0.0193187	0.0150326	0.0493082	0.00981449	0.0288759	0.0134377	0.0106744	0.00651913	0.0692236	0.01358	0.6879058	13.55302	0.379558	0.468595	0.531405	0.620442
612	-65.94602	-107.3988	41.45281	0.00583978	0.0445898	0.0146165	0.0447953	0.0125549	0.0267974	0.0279475	0.015285	0.0147237	0.0103657	0.024472	0.00137918	0.0169801	0.0209191	0.00564139	0.0127169	0.00230341	0.00114927	7.82359e-05	0.0114904	0.0407809	0.0114318	0.0127262	0.000431739	0.0133606	0.00429595	0.0268748	0.0257707	0.00575314	0.0189983	0.0159971	0.0135101	0.00742433	0.0606859	0.00363515	0.334868	0.230342	0.292126	0.142664	0.6103625	0.0688333	0.333853	0.666147	0.931167	0.375874	0.620508	0.86167	1.16054	1.61158	2.66046	0.7075232	0.0101328	0.0773695	0.0253617	0.0777262	0.0217846	0.0464973	0.0484928	0.0265216	0.0255476	0.0179859	0.0424624	0.00239307	0.0294629	0.0362975	0.00978861	0.0220656	0.00399674	0.00199414	0.00013575	0.0199375	0.0707606	0.0198358	0.0220817	0.000749128	0.0231825	0.00745407	0.0466315	0.0447158	0.00998251	0.0329647	0.0277572	0.023442	0.0128823	0.105298	0.00630749	0.5763224	5.725276	0.318079	0.451216	0.548784	0.68192
648	-50.05717	-95.43593	45.37876	0.00759799	0.0230295	0.00286772	0.0253493	0.000274864	0.00786614	0.0245466	0.0126822	0.000775025	0.0350837	0.0281454	0.00424475	0.0480446	0.049721	0.0380477	0.0110793	0.00821918	0.00664188	0.000173653	0.0930491	0.0218179	0.00216438	0.00155173	0.00634171	0.00847087	0.0497307	0.0339026	0.0407112	0.00204589	0.0428351	0.00106012	0.033104	0.0451411	0.157225	0.0206707	0.290959	0.356618	0.201977	0.150446	0.4052884	0.0331517	0.289812	0.710188	0.966848	0.762284	0.876008	0.959541	1.04216	1.14154	1.31185	0.1962674	0.00849685	0.025754	0.00320698	0.0283481	0.000307381	0.00879671	0.0274505	0.0141825	0.000866712	0.0392342	0.0314751	0.00474691	0.0537284	0.0556031	0.0425489	0.01239	0.00919152	0.00742763	0.000194196	0.104057	0.024399	0.00242043	0.0017353	0.00709195	0.00947299	0.055614	0.0379134	0.0455274	0.00228792	0.0479026	0.00118553	0.0370202	0.0504814	0.175825	0.0231161	0.8942131	0.4568502	0.0422231	0.303627	0.696373	0.957777
684	-68.51256	-110.7583	42.24573	0.00174681	0.0074917	0.00705029	0.000492943	0.022223	0.0191085	0.000834676	0.00707711	0.00631232	0.0132663	0.00287754	0.000241355	0.000236628	0.00222474	0.0107106	0.00430908	0.00180559	0.00911892	0.000979484	0.0108541	0.00327169	0.00285891	0.0104489	0.0124671	0.0125648	0.00449506	0.00231909	0.00517194	0.00970276	0.0243085	0.00604195	0.00128672	0.00431775	0.0200465	0.00853134	0.311659	0.0876067	0.26058	0.340154	1.021509	0.127599	0.376506	0.623494	0.872401	0.185619	0.43985	0.773959	1.29206	2.2735	5.38739	1.217692	0.00680234	0.0291739	0.027455	0.0019196	0.08654	0.0744115	0.00325036	0.0275594	0.0245812	0.0516613	0.0112056	0.000939877	0.000921468	0.00866351	0.041709	0.0167802	0.00703127	0.0355105	0.00381427	0.0422675	0.0127405	0.0111331	0.0406896	0.048549	0.0489293	0.0175045	0.00903091	0.0201404	0.0377841	0.0946612	0.0235283	0.0050107	0.016814	0.0780642	0.0332224	0.2567947	2.109913	0.216315	0.417424	0.582576	0.783685
