Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-58.00396	-96.91614	38.91218	0.00512551	0.0928339	0.0719244	0.830116	1.430559	1.062616	0.447978	10.01856
6	-56.78479	-99.31238	42.52759	0.00232372	0.144179	0.461879	0.391618	0.4075504	0.4135552	0.4029415	4.356466
12	-51.6026	-97.35464	45.75204	0.0248318	0.173272	0.298084	0.503812	0.3497535	0.01911878	0.5499056	0.5073866
18	-54.64737	-92.80606	38.15868	0.012854	0.363943	0.421284	0.20192	5.040654	0.989442	0.2725953	5.476641
24	-60.73944	-105.4993	44.75982	0.0216683	0.35657	0.281381	0.340381	0.4305375	0.1516048	0.4241291	1.286134
30	-58.93678	-103.3636	44.4268	0.0735602	0.38692	0.153634	0.385886	1.273128	0.5396717	0.4977633	0.3957376
36	-55.29414	-98.29995	43.00581	0.214037	0.39432	0.111524	0.280119	2.430727	0.5925242	0.1646014	0.4150736
42	-45.93269	-87.83701	41.90433	0.0105765	0.0649068	0.68095	0.243567	0.9251466	1.414497	0.1407207	1.93885
48	-49.90862	-90.70129	40.79267	0.0144976	0.289991	0.237925	0.457586	1.392676	0.30882	0.2206385	5.810892
54	-47.65921	-90.53225	42.87304	0.0142249	0.120156	0.353062	0.512557	2.530453	0.8635553	0.1986801	0.2859654
60	-56.22942	-95.06421	38.83479	0.0188084	0.126014	0.177468	0.677709	11.28601	0.7304429	0.4645091	1.533866
66	-51.58427	-93.1414	41.55714	0.092034	0.259651	0.426065	0.22225	0.9206357	0.4700325	0.3120712	5.053483
72	-51.59621	-96.00984	44.41363	0.0687612	0.408435	0.318325	0.204479	0.308703	0.05412866	1.358486	1.104609
78	-52.33918	-96.78588	44.44671	0.18876	0.750119	0.0169	0.044221	0.8050007	0.6123866	0.549793	0.756839
84	-51.9538	-96.39728	44.44349	0.156471	0.792863	0.0140092	0.0366567	0.7214687	0.8255238	0.4275582	0.6350175
90	-50.62197	-95.2505	44.62853	0.354502	0.347479	0.0699991	0.22802	0.8972377	0.7739014	0.5118945	0.2827166
96	-57.09684	-97.48532	40.38848	0.135523	0.289157	0.0824528	0.492868	1.452079	0.920325	0.6154272	5.751014
