Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-58.00396	-96.91614	38.91218	0.000571996	0.0166361	0.00507288	0.00509615	0.00810828	0.0192645	0.00371427	0.00151226	0.00416212	0.0107768	0.00367012	0.0109986	0.022083	0.0604075	0.00458461	0.00283975	0.0140853	0.000336453	0.00321435	0.00582085	0.0106421	0.00101567	0.00596765	0.0144099	0.0199208	0.00895547	2.0179e-05	0.0178266	0.000391791	0.0415596	0.00432468	0.0272044	0.00953651	0.0327348	0.0505121	0.00512551	0.0928339	0.0719244	0.830116	1.430559	0.169261	0.397817	0.602183	0.83074	0.230019	0.48835	0.799631	1.25058	2.04771	4.34746	1.062616	0.00127684	0.0371359	0.0113239	0.0113759	0.0180997	0.0430031	0.00829118	0.00337574	0.00929091	0.0240565	0.00819264	0.0245516	0.0492948	0.134845	0.010234	0.00633903	0.031442	0.000751047	0.00717525	0.0129936	0.0237559	0.00226724	0.0133213	0.0321665	0.0444683	0.0199909	4.50446e-05	0.0397935	0.000874577	0.0927716	0.00965377	0.0607271	0.0212879	0.0730722	0.112756	0.447978	10.01856	0.360579	0.463382	0.536618	0.639421
36	-55.29414	-98.29995	43.00581	0.000179405	0.0109297	0.00148896	0.00413267	0.00033308	0.0066361	0.00266279	0.00677089	0.00315472	0.0048284	0.00170852	0.000971422	0.0130213	0.01565	0.00604471	0.00949725	0.000391002	0.00273549	0.002952	0.00245243	0.00780858	0.00244342	0.00111085	0.00774641	0.00695985	0.00150975	0.000202714	0.00316702	0.000237845	0.0147567	0.00120456	0.00133138	0.00342506	0.00430042	0.011856	0.214037	0.39432	0.111524	0.280119	2.430727	0.232659	0.423487	0.576513	0.767341	0.440671	0.670554	0.882776	1.13279	1.4913	2.26927	0.5925242	0.00108994	0.066401	0.00904588	0.0251071	0.00202355	0.0403162	0.0161772	0.0411351	0.0191658	0.0293339	0.0103797	0.00590166	0.0791081	0.0950781	0.0367233	0.0576984	0.00237545	0.0166189	0.0179342	0.0148992	0.0474393	0.0148445	0.00674873	0.0470616	0.0422831	0.00917214	0.00123154	0.0192405	0.00144497	0.0896512	0.00731803	0.0080885	0.0208082	0.0261263	0.0720285	0.1646014	0.4150736	0.0348614	0.292622	0.707378	0.965139
72	-51.59621	-96.00984	44.41363	0.0115753	0.05083	0.0120397	0.0558339	0.0231307	0.00421198	0.0346824	0.00441	0.0142648	0.0354053	0.022171	0.00537519	0.0524049	0.14744	0.04229	0.0235137	0.00621685	0.00148209	0.00309077	0.079791	0.00645653	0.0375995	0.0805792	0.102136	0.0602104	0.0261284	0.0126395	0.0329313	0.00930069	0.108741	0.015614	0.133524	0.019632	0.0435081	0.0393251	0.0687612	0.408435	0.318325	0.204479	0.308703	0.0171675	0.255966	0.744034	0.982833	0.927874	0.964149	0.988674	1.01146	1.03718	1.07773	0.05412866	0.00852071	0.0374166	0.00886256	0.0411001	0.0170269	0.00310049	0.0255302	0.00324626	0.0105005	0.0260623	0.0163203	0.00395675	0.038576	0.108533	0.0311303	0.0173088	0.00457631	0.00109098	0.00227516	0.0587352	0.00475273	0.0276775	0.0593154	0.075184	0.0443217	0.0192334	0.0093041	0.0242412	0.00684636	0.080046	0.0114937	0.0982888	0.0144514	0.0320269	0.0289477	1.358486	1.104609	0.13721	0.381867	0.618133	0.86279
108	-59.8909	-101.6452	41.75434	0.00911782	0.00752124	0.00184519	0.00159627	0.00708523	0.00178022	0.00813832	5.27863e-06	0.0029555	0.00657756	0.000102908	0.00857684	0.000985325	0.0225375	0.00756274	0.0258103	0.00345678	0.0237006	0.00712987	0.0111485	0.00888951	0.000109445	0.0214444	0.00365641	0.00818532	0.0124698	0.00622551	0.000776403	0.00106134	0.0369037	0.00121359	0.00132571	0.0101191	0.0101612	0.00826145	0.145634	0.450049	0.280652	0.123665	2.785231	0.247846	0.428856	0.571144	0.752155	0.0889375	0.307232	0.691988	1.44511	3.25487	11.2439	1.749698	0.0316111	0.0260759	0.00639722	0.00553422	0.0245642	0.00617195	0.0282153	1.83008e-05	0.0102466	0.0228042	0.000356779	0.0297356	0.00341608	0.0781366	0.0262197	0.0894834	0.0119845	0.0821691	0.024719	0.0386516	0.0308196	0.000379442	0.0743468	0.0126766	0.0283782	0.0432322	0.0215836	0.00269176	0.00367963	0.127944	0.00420746	0.00459618	0.0350826	0.0352287	0.0286421	0.2884368	0.5944704	0.0661652	0.331292	0.668708	0.933835
144	-51.95396	-96.69305	44.73909	0.00546879	0.008574	0.000272081	0.0163927	0.0265369	0.00412075	0.00289935	0.00078842	0.00318418	0.0278819	0.0208413	0.00445914	0.00507006	0.0564356	0.00670245	0.00327963	0.00918719	0.00682482	0.00482284	0.0095963	0.0219873	0.0193359	0.00916266	0.0114648	0.00228216	0.0258386	0.00383335	0.0125256	0.0195171	0.000220205	0.0100434	0.0198403	0.0243134	0.00138112	0.0069692	0.317173	0.34126	0.222886	0.118681	0.2094538	0.00480682	0.204508	0.795492	0.995193	0.47222	0.693553	0.892113	1.12093	1.44185	2.11766	0.5425257	0.013272	0.020808	0.000660305	0.0397829	0.0644017	0.0100005	0.00703635	0.00191339	0.00772759	0.0676657	0.050579	0.0108217	0.0123044	0.136962	0.016266	0.00795924	0.0222961	0.0165629	0.0117044	0.023289	0.0533604	0.0469257	0.0222366	0.0278236	0.00553851	0.0627068	0.00930305	0.0303979	0.0473654	0.000534409	0.024374	0.0481498	0.0590055	0.0033518	0.0169133	0.4120534	0.9921742	0.124043	0.374439	0.625561	0.875957
180	-50.48532	-96.17974	45.69442	0.0171872	0.0163038	0.00369821	0.0104073	0.0243325	0.0018256	0.00255709	0.0321815	0.0058848	0.0231439	0.0103229	0.006217	0.00735081	0.0302403	0.00249183	0.0053689	0.00655514	0.0412935	0.00177913	0.0213455	0.043374	0.0257097	0.00253075	0.0225142	0.0194034	0.057785	0.00179776	0.00217403	0.0110148	0.00927702	0.0207707	0.0121192	0.00467903	0.0106643	0.0106549	0.482653	0.387074	0.0617943	0.0684793	0.3685514	0.0268342	0.27835	0.72165	0.973166	0.719852	0.851878	0.951216	1.05129	1.17388	1.38917	0.2376795	0.0327403	0.0310574	0.0070448	0.0198251	0.0463514	0.00347763	0.00487105	0.0613033	0.0112101	0.0440873	0.0196643	0.0118429	0.0140027	0.0576055	0.00474675	0.0102273	0.012487	0.0786609	0.0033891	0.0406616	0.0826241	0.0489749	0.00482088	0.0428879	0.036962	0.110076	0.0034246	0.00414136	0.0209823	0.017672	0.0395666	0.0230862	0.00891319	0.0203146	0.0202968	0.5249558	0.2180335	0.00560632	0.209857	0.790143	0.994394
216	-61.62872	-95.65478	34.02605	0.00173838	0.00305097	0.000530869	0.00341547	0.0032442	0.000511423	0.00158809	0.00615407	0.00254066	0.013353	0.00276205	0.00151976	0.00742931	0.00284293	0.00192014	0.00239107	0.000244485	0.000231265	0.00333206	0.00861697	0.00457887	0.00127275	0.00519321	0.00138857	0.00137441	0.000646476	0.000464182	0.000689726	0.00749712	0.00180117	0.00477527	0.00212015	0.000885748	0.00734797	0.00280946	0.438498	0.0593123	0.255265	0.246925	13.41936	0.378975	0.468438	0.531563	0.621024	0.122499	0.359153	0.726533	1.3764	2.78433	8.16335	1.518195	0.0157658	0.0276701	0.00481461	0.0309759	0.0294226	0.00463824	0.0144028	0.0558131	0.023042	0.121102	0.0250498	0.0137831	0.0673785	0.0257834	0.0174143	0.0216853	0.00221731	0.00209741	0.0302194	0.0781498	0.0415271	0.011543	0.0470988	0.0125933	0.0124649	0.00586308	0.0042098	0.00625532	0.0679936	0.0163353	0.0433083	0.0192282	0.0080331	0.0666409	0.0254798	0.1102622	6.941367	0.333853	0.455824	0.544177	0.666146
252	-53.30741	-97.46465	44.15724	0.00539542	0.00438464	0.0251464	0.00124435	0.00875793	0.00226118	0.000527987	0.00406588	0.00594675	0.00333482	0.0227514	0.00154665	0.00211567	0.0557675	0.00925479	0.00604618	0.00466204	0.00699461	0.00677366	0.000428205	0.00881949	0.0368959	0.0219568	0.0216652	0.005508	0.00315593	0.0130616	0.000988734	0.0102654	0.0181622	0.0219929	0.00159475	0.00766919	0.0149873	0.0200187	0.0309612	0.140498	0.564707	0.263835	0.3226648	0.0193248	0.261661	0.738339	0.980675	0.128488	0.367612	0.731829	1.36644	2.72026	7.78286	1.483682	0.0140451	0.0114139	0.0654601	0.00323924	0.0227983	0.00588622	0.00137444	0.0105841	0.0154804	0.00868109	0.0592256	0.00402618	0.00550743	0.145172	0.0240917	0.0157392	0.012136	0.0182081	0.017633	0.00111469	0.0229586	0.0960461	0.0571571	0.0563981	0.0143382	0.00821539	0.0340015	0.00257383	0.0267224	0.0472791	0.0572512	0.00415139	0.0199641	0.0390144	0.0521119	0.3841481	0.6232904	0.0709841	0.33586	0.66414	0.929016
288	-55.84659	-101.3165	45.46988	0.00819222	0.0123216	0.0199449	0.0121025	0.0247788	0.00411632	0.00279266	0.0145987	0.0106804	0.0245635	0.00632986	0.00088796	0.00399888	0.00536474	0.000819901	0.00426657	0.00192277	0.000935798	0.00426077	0.0112911	0.0308841	0.00816274	0.0310254	0.0216535	0.00238141	0.00760132	0.00650464	0.00159787	0.00405964	0.0102446	0.00942253	0.00318316	0.0162988	0.0213592	0.0165934	0.310391	0.133398	0.263861	0.29235	0.5775412	0.0632949	0.328444	0.671556	0.936705	0.97745	0.988938	0.996536	1.00348	1.01119	1.02307	0.01649218	0.0224357	0.0337447	0.0546224	0.0331446	0.0678607	0.0112732	0.00764813	0.039981	0.0292499	0.067271	0.0173353	0.00243182	0.0109516	0.0146922	0.00224543	0.0116847	0.00526582	0.00256283	0.0116688	0.0309224	0.084581	0.022355	0.084968	0.0593016	0.00652187	0.0208174	0.017814	0.00437601	0.011118	0.0280565	0.0258051	0.00871759	0.0446369	0.0584955	0.0454436	0.3651421	0.5408284	0.0569804	0.321797	0.678203	0.94302
324	-53.60331	-94.57527	40.97196	0.00133512	0.00945379	0.0116589	0.00703701	0.00358758	0.00633108	0.000503345	0.00174436	0.00473946	0.0118868	0.0166409	0.000897438	0.00126202	0.0125086	0.0128915	0.00184711	0.00229127	0.00167232	0.000320482	0.00386519	0.00516189	0.00158789	0.00267057	0.00171402	0.00530312	0.0043597	0.00850251	0.00642394	0.00881337	0.00635457	0.00318546	0.000429539	0.00441199	0.00617758	0.0122016	0.00261612	0.562964	0.34158	0.0928403	1.073262	0.133663	0.379924	0.620075	0.866338	0.187429	0.441937	0.775102	1.29015	2.26277	5.33536	1.210675	0.00703541	0.0498166	0.0614363	0.0370814	0.0189047	0.0333615	0.00265237	0.00919189	0.0249745	0.0626372	0.0876887	0.00472903	0.00665017	0.0659139	0.0679314	0.00973331	0.0120738	0.00881224	0.00168877	0.0203675	0.0272005	0.00836735	0.0140725	0.00903202	0.0279447	0.0229734	0.0448038	0.0338509	0.0464419	0.0334853	0.0167857	0.00226345	0.0232489	0.0325526	0.0642963	0.189772	3.856784	0.281763	0.440089	0.559912	0.718237
